# rice benchmark results: M7-lifecycle
# date: 2026-09-18T10:30:33Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkShutdownLatency/after-last-request-12         	      10	 103513562 ns/op	        95.69 ms/shutdown	   44617 B/op	     213 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 102993325 ns/op	        95.09 ms/shutdown	   43849 B/op	     212 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 102667888 ns/op	        94.78 ms/shutdown	   44198 B/op	     212 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 103134221 ns/op	        95.24 ms/shutdown	   43377 B/op	     213 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 102698854 ns/op	        94.80 ms/shutdown	   43418 B/op	     212 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 103300821 ns/op	        95.45 ms/shutdown	   44253 B/op	     213 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 103054104 ns/op	        95.16 ms/shutdown	   45163 B/op	     213 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 103190262 ns/op	        95.29 ms/shutdown	   44500 B/op	     214 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 102869975 ns/op	        95.01 ms/shutdown	   43867 B/op	     212 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103014325 ns/op	       101.4 ms/shutdown	   33376 B/op	     129 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103367479 ns/op	       101.7 ms/shutdown	   32441 B/op	     129 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 102565288 ns/op	       100.9 ms/shutdown	   33191 B/op	     129 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103347629 ns/op	       101.7 ms/shutdown	   32353 B/op	     128 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 102773517 ns/op	       101.1 ms/shutdown	   33188 B/op	     129 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 102818700 ns/op	       101.1 ms/shutdown	   33292 B/op	     129 allocs/op
