# rice benchmark results: M6-context-pooling
# date: 2026-09-17T18:23:46Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkDispatchPlainError-12       	49083518	        24.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPlainError-12       	49311690	        24.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPanic-12            	  161503	      7398 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  162003	      7379 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  162390	      7360 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  164004	      7366 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  162091	      7388 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  162266	      7379 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  161635	      7397 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  161858	      7361 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  162944	      7364 ns/op	    3121 B/op	       3 allocs/op
BenchmarkDispatchPanic-12            	  162062	      7368 ns/op	    3121 B/op	       3 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12             	35731299	        33.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12             	36435310	        33.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12             	35951554	        33.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12             	35969785	        33.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12             	36338676	        33.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12             	36362396	        33.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12             	35980705	        33.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12             	36250034	        33.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12             	34763001	        33.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12             	36081724	        33.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12     	35613415	        33.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12     	35603378	        33.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12     	34970426	        33.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12     	35597173	        33.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12     	34653870	        33.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12     	35421608	        33.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12     	34236843	        33.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12     	35533182	        33.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12     	35675089	        33.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12     	35557837	        33.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12             	16076703	        75.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12             	16049029	        75.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12             	16043978	        75.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12             	16017823	        74.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12             	16083356	        75.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12             	16029261	        75.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12             	15935901	        75.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12             	15848138	        74.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12             	15843396	        74.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12             	15957517	        74.98 ns/op	       0 B/op	       0 allocs/op
