# rice benchmark results: post-M8-static-files
# date: 2026-09-24T19:06:56Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkFasthttpBaseline-12         	100000000	        11.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12         	100000000	        11.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 104241175 ns/op	        95.75 ms/shutdown	   45057 B/op	     218 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 104461754 ns/op	        95.86 ms/shutdown	   44997 B/op	     219 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 104475558 ns/op	        95.22 ms/shutdown	   45659 B/op	     219 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 104445733 ns/op	        95.78 ms/shutdown	   44634 B/op	     218 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 103946896 ns/op	        95.25 ms/shutdown	   43976 B/op	     218 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 103643454 ns/op	        95.29 ms/shutdown	   44967 B/op	     220 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 103506162 ns/op	        94.78 ms/shutdown	   45420 B/op	     219 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 104152192 ns/op	        95.40 ms/shutdown	   44580 B/op	     219 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 103838492 ns/op	        95.15 ms/shutdown	   45995 B/op	     219 allocs/op
BenchmarkShutdownLatency/after-last-request-12         	      10	 103373033 ns/op	        94.79 ms/shutdown	   45004 B/op	     219 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 104031154 ns/op	       101.5 ms/shutdown	   33676 B/op	     134 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103332117 ns/op	       100.9 ms/shutdown	   32947 B/op	     133 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103445667 ns/op	       101.0 ms/shutdown	   33760 B/op	     134 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103894088 ns/op	       101.4 ms/shutdown	   33996 B/op	     135 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103866775 ns/op	       101.7 ms/shutdown	   33054 B/op	     134 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103704750 ns/op	       101.2 ms/shutdown	   33674 B/op	     134 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103905438 ns/op	       101.5 ms/shutdown	   33676 B/op	     134 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 104185250 ns/op	       101.9 ms/shutdown	   32872 B/op	     134 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103301483 ns/op	       101.1 ms/shutdown	   33759 B/op	     134 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 104184358 ns/op	       101.7 ms/shutdown	   33674 B/op	     134 allocs/op
BenchmarkRiceDispatch-12                               	36235507	        33.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	35348916	        33.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	36506065	        33.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	36587875	        32.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	36401001	        33.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	36530050	        33.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	36202735	        33.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	36153243	        33.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	36486456	        33.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	36294164	        33.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35629761	        33.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35823345	        33.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35667312	        33.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35751526	        33.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35859652	        33.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35860279	        33.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35776885	        33.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35809849	        33.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35633817	        33.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35866977	        33.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15672871	        75.85 ns/op	       0 B/op	       0 allocs/op
