# rice benchmark results: M8-compare-handler
# date: 2026-09-19T03:54:28Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro
# power: 'Battery Power'
# rice: b131556 (local, via replace)
# github.com/gin-gonic/gin v1.12.0
# github.com/labstack/echo/v5 v5.3.1
# github.com/gofiber/fiber/v3 v3.5.0
# github.com/valyala/fasthttp v1.73.0

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench/compare
cpu: Apple M2 Pro
BenchmarkHandler/middleware5/gin-12     	12012918	        98.31 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/middleware5/gin-12     	11099724	        97.76 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/middleware5/echo-12    	10560087	       111.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/middleware5/echo-12    	10840030	       111.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/middleware5/echo-12    	10692891	       109.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/middleware5/echo-12    	11109562	       107.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/middleware5/echo-12    	10914700	       108.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/middleware5/echo-12    	11228476	       111.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/middleware5/echo-12    	11043181	       110.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/middleware5/echo-12    	10731644	       108.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/middleware5/echo-12    	10984262	       109.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/middleware5/echo-12    	10915941	       108.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/middleware5/fiber-12   	16826095	        72.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/fiber-12   	16573526	        73.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/fiber-12   	16371180	        73.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/fiber-12   	16285677	        73.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/fiber-12   	16458026	        72.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/fiber-12   	16664013	        72.74 ns/op	       0 B/op	       0 allocs/op
