# rice benchmark results: M5-error-handling
# date: 2026-09-14T15:14:21Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 25.6.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench
cpu: Apple M2 Pro
BenchmarkTreeLookup100-12            	 9285712	       134.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	 9684261	       130.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	 9802436	       125.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	 9259496	       119.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	 9250809	       124.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	 8562770	       137.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12            	 9820609	       130.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	 7922412	       133.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	 8450212	       155.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	 8986110	       127.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	 9640450	       126.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	 9223195	       128.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	 9217807	       135.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	 9051806	       138.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	 8145109	       132.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	 8946496	       137.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12           	 9237554	       131.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	10303431	       115.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	11650777	       117.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	10103170	       115.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	10328432	       117.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	10303218	       112.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	10333280	       116.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	10757655	       111.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	11484645	       113.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	10868834	       112.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12         	10698206	       114.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	 9900373	       123.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	 9541105	       127.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	 9535677	       127.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	 9722713	       125.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	 9902745	       123.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	 9704320	       128.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	 9601311	       126.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	 8983682	       137.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	 9425052	       133.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12        	 9363396	       128.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	11017782	       109.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	11612851	       118.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	10518537	       108.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	10471108	       110.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	11205326	       116.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	10125001	       122.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	10322635	       115.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	10791730	       116.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	10339011	       123.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12       	 9947223	       120.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	10027104	       124.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	 9398884	       128.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	 9777374	       123.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	 9576062	       124.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	 9519427	       126.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	 9118814	       120.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	 9912750	       119.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	 9938144	       126.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	 9323649	       119.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12      	10010110	       122.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10296595	       118.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10564510	       118.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10431364	       117.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	 9905593	       124.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10104780	       118.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	 9418701	       121.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	 9931452	       119.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10327651	       119.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	10556487	       117.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                 	 9737048	       118.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	11022526	       114.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10103068	       116.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10007376	       116.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	 9280660	       116.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10215098	       114.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10366804	       115.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	 9630946	       115.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10448388	       114.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10139380	       115.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeWrongVerb-12            	10225383	       115.1 ns/op	     352 B/op	       1 allocs/op
PASS
ok  	github.com/vietpham102301/rice-http/bench	384.262s
